# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0007.9+4711 1.99315 47.192 17.2 6.2797e-12 3.2076 6.2797e-12 3.2076 0.000760 0.280
J0008.4-2339 2.12429 -23.6514 17.0 3.3234e-12 3.2088 3.3234e-12 3.2088 0.000760 0.147
J0013.8-1855 3.46843 -18.9169 18.9 1.1184e-12 2.4146 1.1184e-12 2.4146 0.002766 0.095
J0018.6+2946 4.65253 29.7821 29.2 6.6751e-13 1.9114 6.6751e-13 1.9114 0.003397 0.100
J0030.2-1648 7.5726 -16.8002 26.4 1.2220e-12 1.6858 1.2220e-12 1.6858 0.002444 2.100
J0030.5-0210 7.64225 -2.18004 11.9 5.7616e-12 3.2094 5.7616e-12 3.2094 0.000759 2.090
J0033.5-1921 8.39293 -19.3575 23.1 8.3639e-12 2.4149 8.3639e-12 2.4149 0.002754 0.610
J0037.8+1239 9.46151 12.6512 19.6 1.4643e-12 3.2118 1.4643e-12 3.2118 0.000757 0.089
J0038.1+0012 9.54031 0.215769 18.8 1.6307e-12 2.4147 1.6307e-12 2.4147 0.002766 0.740
J0041.5+3759 10.3765 37.9957 31.6 2.9695e-13 2.0505 2.9695e-13 2.0505 0.003228 0.380
J0043.8+3425 10.9658 34.4225 20.6 5.4743e-12 3.1049 5.4743e-12 3.1049 0.001445 0.966
J0047.0+5657 11.7746 56.9578 18.0 2.1481e-12 3.2091 2.1481e-12 3.2091 0.000759 0.747
J0047.9+3947 11.9766 39.7896 21.4 1.6238e-12 3.1060 1.6238e-12 3.1060 0.001445 0.252
J0049.7+0238 12.4465 2.64441 16.9 2.1070e-12 3.2094 2.1070e-12 3.2094 0.000760 1.474
J0050.7-0929 12.6821 -9.49458 17.0 9.7375e-12 3.2079 9.7375e-12 3.2079 0.000760 0.635
J0051.0-0647 12.7525 -6.79584 12.7 4.1183e-12 3.2095 4.1183e-12 3.2095 0.000759 1.975
J0056.3-0936 14.0954 -9.6166 29.1 9.6936e-13 2.4148 9.6936e-13 2.4148 0.002764 0.103
J0059.3-0152 14.8387 -1.87475 23.8 7.4571e-13 2.4146 7.4571e-13 2.4146 0.002766 0.144
J0108.7+0135 17.1889 1.59183 14.0 1.3504e-11 3.2087 1.3504e-11 3.2087 0.000760 2.099
J0109.1+1817 17.2915 18.2844 14.5 5.1929e-12 3.2089 5.1929e-12 3.2089 0.000760 0.443
J0109.9-4020 17.497 -40.3402 34.0 3.5324e-13 1.1446 3.5324e-13 1.1446 0.004525 0.313
J0112.1+2245 18.0329 22.7554 17.0 2.2471e-11 3.2035 2.2471e-11 3.2035 0.000760 0.265
J0112.9+3208 18.2371 32.1474 18.1 1.3788e-12 2.4147 1.3788e-12 2.4147 0.002766 0.603
J0113.5+4948 18.382 49.8115 17.9 1.8031e-12 3.2092 1.8031e-12 3.2092 0.000759 0.389
J0114.8+1324 18.7068 13.4044 20.1 2.3103e-12 3.1061 2.3103e-12 3.1061 0.001446 0.583
J0115.8+2519 18.954 25.3285 22.7 2.1603e-12 2.4146 2.1603e-12 2.4146 0.002764 0.358
J0117.7-2109 19.4426 -21.1504 14.1 2.6840e-12 3.2095 2.6840e-12 3.2095 0.000759 1.490
J0118.9-2141 19.7324 -21.6971 15.6 4.8392e-12 3.2091 4.8392e-12 3.2091 0.000759 1.165
J0123.0+3422 20.7671 34.3744 27.6 1.1166e-12 1.5129 1.1166e-12 1.5129 0.003160 0.272
J0123.6-2309 20.9102 -23.1627 32.4 8.4229e-13 1.7558 8.4229e-13 1.7558 0.003696 0.404
J0127.3-0821 21.8311 -8.35744 16.6 1.4518e-12 3.2112 1.4518e-12 3.2112 0.000756 0.360
J0131.1+5546 22.7985 55.7704 15.0 2.1252e-12 3.2090 2.1252e-12 3.2090 0.000760 0.036
J0132.6-1655 23.1594 -16.9219 13.3 5.8871e-12 3.2092 5.8871e-12 3.2092 0.000759 1.020
J0136.9+4751 24.2376 47.8549 15.3 7.1464e-12 3.2085 7.1464e-12 3.2085 0.000760 0.859
J0141.4-0928 25.3547 -9.46848 21.1 2.5988e-12 3.1060 2.5988e-12 3.1060 0.001446 0.730
J0146.8-5203 26.705 -52.0521 16.8 1.5917e-12 3.2092 1.5917e-12 3.2092 0.000759 0.098
J0148.6+0127 27.1667 1.46066 15.6 2.0225e-12 3.2095 2.0225e-12 3.2095 0.000759 0.940
J0151.0+0539 27.7537 5.65464 11.2 4.9187e-12 3.2092 4.9187e-12 3.2092 0.000759 0.300
J0152.6+0147 28.1721 1.78566 24.6 1.9759e-12 2.4147 1.9759e-12 2.4147 0.002762 0.080
J0153.5+7115 28.3967 71.2518 33.6 3.3007e-13 2.1651 3.3007e-13 2.1651 -0.195524 0.022
J0154.0+0823 28.5032 8.38995 17.5 6.6573e-12 3.2084 6.6573e-12 3.2084 0.000760 0.681
J0159.5+1047 29.882 10.7885 18.2 3.0858e-12 3.2087 3.0858e-12 3.2087 0.000760 0.195
J0203.8+3044 30.9555 30.7482 16.8 2.9382e-12 3.2092 2.9382e-12 3.2092 0.000759 0.761
J0208.6+3522 32.1683 35.3804 21.9 7.5856e-13 3.1065 7.5856e-13 3.1065 0.001446 0.318
J0210.6-5100 32.6695 -51.016 14.2 4.6845e-12 3.2091 4.6845e-12 3.2091 0.000759 1.003
J0211.2+1051 32.8143 10.8588 20.1 7.4258e-12 3.2058 7.4258e-12 3.2058 0.000761 0.200
J0213.0+2242 33.259 22.7028 32.1 3.5407e-13 2.0505 3.5407e-13 2.0505 0.003228 0.459
J0214.5+5145 33.6255 51.7606 49.7 2.3076e-13 1.2783 2.3076e-13 1.2783 0.004450 0.049
J0216.4+2315 34.1128 23.2544 23.5 6.6094e-13 2.4146 6.6094e-13 2.4146 0.002766 0.288
J0217.1+0836 34.2759 8.60505 16.5 3.3894e-12 3.2089 3.3894e-12 3.2089 0.000760 0.085
J0217.8+0143 34.4622 1.72569 14.2 1.1699e-11 3.2087 1.1699e-11 3.2087 0.000760 1.715
J0219.1-1723 34.7925 -17.3939 17.7 1.4451e-12 2.4146 1.4451e-12 2.4146 0.002766 0.128
J0221.1+3556 35.285 35.938 19.3 7.7248e-12 3.1042 7.7248e-12 3.1042 0.001445 0.944
J0222.6+4302 35.6663 43.0341 17.3 5.1694e-11 3.1904 5.1694e-11 3.1904 0.000764 0.444
J0227.3+0200 36.8281 2.00265 27.1 7.2019e-13 2.0505 7.2019e-13 2.0505 0.003228 0.457
J0228.2-5545 37.0546 -55.7511 16.7 2.3834e-12 3.2094 2.3834e-12 3.2094 0.000759 2.464
